name,html_url,description,language,stargazers_count,topics
contoso-chat,https://github.com/Azure-Samples/contoso-chat,"This sample has the full End2End process of creating RAG application with Prompt Flow and AI Studio. It includes GPT 3.5 Turbo LLM application code, evaluations, deployment automation with AZD CLI, GitHub actions for evaluation and deployment and intent mapping for multiple LLM task mapping.",Jupyter Notebook,377,
contoso-web,https://github.com/Azure-Samples/contoso-web,Contoso Outdoors Company web application shown at Microsoft Ignite,TypeScript,40,
AI-in-a-Box,https://github.com/Azure/AI-in-a-Box,,Jupyter Notebook,471,
semantic-kernel-bot-in-a-box,https://github.com/Azure/semantic-kernel-bot-in-a-box,Extensible Semantic Kernel Bot Solution Accelerator,C#,49,
intro-to-intelligent-apps,https://github.com/Azure/intro-to-intelligent-apps,This repository introduces and helps organizations get started with building Intelligent Apps and incorporating Large Language Models (LLMs) via AI Orchestration into them.,Jupyter Notebook,173,
aoai-net-starterkit,https://github.com/Azure-Samples/aoai-net-starterkit,Azure OpenAI Starter Kit for .NET Developers,C#,56,
Vector-Search-AI-Assistant,https://github.com/Azure/Vector-Search-AI-Assistant,"Microsoft Official Build Modern AI Apps reference solutions and content. Demonstrate how to build Copilot applications that incorporate Hero Azure Services including Azure OpenAI Service, Azure Container Apps (or AKS) and Azure Cosmos DB for NoSQL with Vector Search.",C#,139,
communication-services-AI-customer-service-sample,https://github.com/Azure-Samples/communication-services-AI-customer-service-sample,"A sample app for the customer support center running in Azure, using Azure Communication Services and Azure OpenAI for text and voice bots.",C#,83,
azure-search-openai-javascript,https://github.com/Azure-Samples/azure-search-openai-javascript,"A TypeScript sample app for the Retrieval Augmented Generation pattern running on Azure, using Azure AI Search for retrieval and Azure OpenAI and LangChain large language models (LLMs) to power ChatGPT-style and Q&A experiences.",TypeScript,219,
azure-openai-rag-workshop,https://github.com/Azure-Samples/azure-openai-rag-workshop,Create your own ChatGPT with Retrieval-Augmented-Generation workshop,Bicep,77,
azure-search-power-skills,https://github.com/Azure-Samples/azure-search-power-skills,A collection of useful functions to be deployed as custom skills for Azure Cognitive Search,C#,271,
openai-at-scale,https://github.com/Azure/openai-at-scale,Simple ChatGPT UI application,TypeScript,111,
azure-openai-samples,https://github.com/Azure/azure-openai-samples,Azure OpenAI Samples is a collection of code samples illustrating how to use Azure Open AI in creating AI solution for various use cases across industries. This repository is mained by a community of volunters. We welcomed your contributions. ,Jupyter Notebook,507,
aistudio-copilot-sample,https://github.com/Azure/aistudio-copilot-sample,Sample quickstart repo for getting started building an enterprise chat copilot in Azure AI Studio,Python,310,
azure-search-vector-samples,https://github.com/Azure/azure-search-vector-samples,A repository of code samples for Vector search capabilities in Azure AI Search.,Jupyter Notebook,695,
azure-search-knowledge-mining,https://github.com/Azure-Samples/azure-search-knowledge-mining,Azure Search Knowledge Mining Accelerator,CSS,365,
azure-sql-db-openai,https://github.com/Azure-Samples/azure-sql-db-openai,Samples on how to use Azure SQL database with Azure OpenAI,TSQL,65,
Build-Modern-AI-Apps-Hackathon,https://github.com/Azure/Build-Modern-AI-Apps-Hackathon,A 1-2 day hackathon to help users learn the concepts and technical skills to build AI-enabled applications and services in Azure.,C#,57,
semantic-kernel-rag-chat,https://github.com/Azure-Samples/semantic-kernel-rag-chat,"Tutorial for ChatGPT + Enterprise Data with Semantic Kernel, OpenAI, and Azure Cognitive Search",C#,145,
azure-search-openai-demo,https://github.com/Azure-Samples/azure-search-openai-demo,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models  to power ChatGPT-style and Q&A experiences.",Python,5674,
intelligent-app-workshop,https://github.com/Azure/intelligent-app-workshop,"Immersive workshop showcasing the remarkable potential of integrating SoTA foundation models to enhance product experiences and streamline backend workflows. Leverages Microsoft's Copilot stack, Semantic Kernel and Azure primitives to offer an engaging and comprehensive introduction to AI-infused app development and deployment",Python,154,
openai-chat-app-quickstart,https://github.com/Azure-Samples/openai-chat-app-quickstart,A simple chat application that uses managed identity for Azure OpenAI access. Designed for deployment on Azure Container Apps with the Azure Developer CLI.,Bicep,136,
chat-with-your-data-solution-accelerator,https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator,"A Solution Accelerator for the RAG pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences. This includes most common requirements and best practices.",Python,684,
miyagi,https://github.com/Azure-Samples/miyagi,Sample to envision intelligent apps with Microsoft's Copilot stack for AI-infused product experiences.,Jupyter Notebook,702,
qdrant-azure,https://github.com/Azure-Samples/qdrant-azure,Qdrant Vector Database on Azure Cloud,Shell,85,
contoso-real-estate,https://github.com/Azure-Samples/contoso-real-estate,"Intelligent enterprise-grade reference architecture for JavaScript, featuring OpenAI integration, Azure Developer CLI template and Playwright tests.",JavaScript,831,
azure-search-openai-demo-csharp,https://github.com/Azure-Samples/azure-search-openai-demo-csharp,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure Cognitive Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences. ",C#,560,
openai,https://github.com/Azure-Samples/openai,The repository for all Azure OpenAI Samples complementing the OpenAI cookbook. ,Jupyter Notebook,1003,
AzureSpeechReactSample,https://github.com/Azure-Samples/AzureSpeechReactSample,"This sample shows how to integrate the Azure Speech service into a sample React application. This sample shows design pattern examples for authentication token exchange and management, as well as capturing audio from a microphone or file for speech-to-text conversions.",JavaScript,127,
azure-search-javascript-samples,https://github.com/Azure-Samples/azure-search-javascript-samples,Azure Search Javascript sample code,JavaScript,23,
azure-search-dotnet-samples,https://github.com/Azure-Samples/azure-search-dotnet-samples,Azure Search .NET sample code,C#,117,
Serverless-microservices-reference-architecture,https://github.com/Azure-Samples/Serverless-microservices-reference-architecture,"This reference architecture walks you through the decision-making process involved in designing, developing, and delivering a serverless application using a microservices architecture through hands-on instructions for configuring and deploying all of the architecture's components along the way. The goal is to provide practical hands-on experience in working with several Azure services and the technologies that effectively use them in a cohesive and unified way to build a serverless-based microservices architecture.",C#,488,
azd-ai-starter, https://github.com/Azure-Samples/azd-ai-starter, Creates an Azure AI Service and deploys the specified models. , Bicep,,
